unit_id,effect
1,-0.7241
1,-1.2176
1,2.6937
1,-0.3408
1,0.4224
1,-0.7214
1,-0.7323
1,0.4164
1,0.7643
1,-0.6847
1,-0.2111
1,0.3319
1,-0.4985
1,-0.8859
1,-1.3608
1,-1.192
1,1.6048
1,0.7823
1,-1.2125
1,-1.3302
1,-0.3854
1,-1.5155
1,1.1664
1,-2.3854
1,0.1101
1,0.0536
1,-0.5871
1,-2.4933
1,-1.0166
1,0.39
1,2.8334
1,-1.956
1,-0.6034
1,-0.1871
1,0.4733
1,1.0541
1,-0.9996
1,1.3206
1,-0.639
1,-1.7951
2,-0.2816
2,-0.9611
2,-0.2798
2,-0.013
2,-0.5358
2,-0.2112
2,0.5852
2,0.4853
2,1.6982
2,0.677
2,-0.0113
2,0.1972
2,0.4663
2,-0.2282
2,1.3637
2,-0.4721
2,-0.8362
2,-1.0321
2,2.6195
2,-2.1106
2,0.621
2,1.8214
2,-0.9371
2,0.4368
2,-1.1391
2,-1.4335
2,-0.1681
2,-0.2084
2,0.2402
2,-0.5508
2,0.3511
2,0.0645
2,-0.4349
2,-0.0786
2,-1.3847
2,0.7512
2,-0.1163
2,-1.6624
2,-0.3358
2,0.5447
3,1.9411
3,0.7646
3,1.0422
3,1.3539
3,1.8025
3,0.9718
3,-0.4084
3,0.2831
3,-0.1897
3,0.5848
3,1.2587
3,1.6198
3,-0.9516
3,0.0972
3,0.3829
3,0.6027
3,1.6346
3,2.4734
3,-1.0883
3,3.023
3,0.3929
3,-0.0762
3,1.4621
3,1.4963
3,2.2932
3,0.2155
3,2.8123
3,0.9877
3,0.2926
3,4.0346
3,1.1829
3,0.5811
3,0.1872
3,0.1172
3,1.1443
3,-0.0273
3,0.3256
3,2.9122
3,0.6649
3,1.1341
4,2.3314
4,1.6906
4,0.317
4,0.314
4,0.604
4,1.1477
4,0.3982
4,0.9196
4,-0.5181
4,-0.0207
4,0.3705
4,0.6349
4,-0.1191
4,-0.171
4,-0.295
4,1.8732
4,-0.9544
4,0.9166
4,0.2294
4,1.4918
4,0.4409
4,1.4049
4,1.7652
4,1.3863
4,-0.2693
4,1.2242
4,1.8483
4,1.0801
4,0.0131
4,0.49
4,0.7925
4,0.6977
4,1.4102
4,0.0785
4,0.2788
4,1.8068
4,2.7527
4,-0.5593
4,0.018
4,-0.9319
5,0.4838
5,2.831
5,1.7998
5,1.8309
5,0.2041
5,1.3392
5,1.6363
5,1.7518
5,0.9357
5,0.4745
5,0.7943
5,1.0766
5,2.0351
5,1.7367
5,3.6649
5,2.9083
5,0.6013
5,0.6077
5,0.588
5,4.2705
5,1.4372
5,3.2572
5,1.6125
5,-0.0927
5,1.3686
5,1.6152
5,2.9145
5,1.7344
5,2.0407
5,2.2407
5,1.1
5,1.7001
5,0.8872
5,1.361
5,1.4352
5,1.0619
5,-0.0701
5,0.4867
5,0.392
5,3.0896
6,-0.7613
6,-0.0251
6,-0.3074
6,-0.6224
6,-0.5271
6,0.9244
6,-1.4205
6,0.4077
6,-0.1874
6,-0.2084
6,-1.2239
6,-0.0143
6,1.8033
6,-1.7318
6,0.4689
6,-0.0247
6,-1.3125
6,0.7768
6,-0.3098
6,-0.8517
6,-0.298
6,0.3265
6,-1.3783
6,-0.9767
6,-1.3542
6,-0.0885
6,-1.4759
6,0.3456
6,-1.8469
6,-0.5187
6,0.1635
6,0.8382
6,0.4824
6,-0.4052
6,1.8591
6,0.8807
6,-0.725
6,-0.0383
6,0.0343
6,-1.2052
7,-1.9984
7,0.1062
7,-2.4685
7,-0.9102
7,-1.0508
7,-1.5573
7,-2.1297
7,-0.0967
7,0.7917
7,-1.9264
7,-0.4516
7,-1.437
7,-1.1662
7,-1.6624
7,-0.9148
7,-1.4593
7,-1.0866
7,-0.7798
7,-1.3431
7,-2.7088
7,-0.7524
7,-2.8389
7,-0.7222
7,0.9366
7,0.2736
7,1.0015
7,-0.3349
7,-1.3291
7,-0.3235
7,0.4423
7,-0.6341
7,-0.1997
7,-1.5537
7,-1.7526
7,-1.0297
7,-1.3172
7,-2.5617
7,-0.6051
7,-1.8669
7,-2.3314
8,-1.6512
8,1.2154
8,0.6239
8,0.0092
8,0.164
8,0.9128
8,1.1892
8,-1.1939
8,0.2979
8,0.6335
8,-0.8863
8,-1.7044
8,0.8214
8,-1.4263
8,1.0632
8,0.7498
8,-0.4287
8,0.1802
8,0.0173
8,-1.7
8,-0.8189
8,0.9133
8,0.4912
8,1.6766
8,-0.6506
8,0.1144
8,0.0776
8,1.5829
8,0.6553
8,1.9763
8,-0.7372
8,-0.6521
8,-0.1483
8,-1.6062
8,0.0757
8,0.485
8,-0.6332
8,0.9995
8,0.6297
8,0.0636
9,0.0322
9,1.1496
9,1.3254
9,2.0163
9,0.0005
9,0.4011
9,1.0164
9,1.1079
9,-0.9253
9,1.1783
9,0.0199
9,2.5172
9,1.7466
9,0.551
9,-0.1594
9,1.8253
9,1.9715
9,-0.2081
9,0.1191
9,-0.5784
9,0.7025
9,0.7783
9,2.1443
9,-0.4139
9,0.7769
9,1.7476
